# Station : SAINT-MALO
# Longitude : -2.028103
# Latitude : 48.640812
# Organisme fournisseur de données : Shom, CCI Ille-et-Vilaine, CR Bretagne
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
07/01/2021 12:00:00;10.014;4
07/01/2021 13:00:00;9.628;4
07/01/2021 14:00:00;8.736;4
07/01/2021 15:00:00;7.488;4
07/01/2021 16:00:00;6.118;4
07/01/2021 17:00:00;4.896;4
07/01/2021 18:00:00;4.036;4
07/01/2021 19:00:00;3.708;4
07/01/2021 20:00:00;4.113;4
07/01/2021 21:00:00;5.324;4
07/01/2021 22:00:00;6.898;4
07/01/2021 23:00:00;8.524;4
08/01/2021 00:00:00;9.523;4
08/01/2021 01:00:00;9.718;4
08/01/2021 02:00:00;9.269;4
08/01/2021 03:00:00;8.336;4
08/01/2021 04:00:00;7.071;4
08/01/2021 05:00:00;5.81;4
08/01/2021 06:00:00;4.677;4
08/01/2021 07:00:00;3.971;4
08/01/2021 08:00:00;3.937;4
08/01/2021 09:00:00;4.706;4
08/01/2021 10:00:00;6.181;4
08/01/2021 11:00:00;7.886;4
08/01/2021 12:00:00;9.299;4
08/01/2021 13:00:00;9.891;4
08/01/2021 14:00:00;9.661;4
08/01/2021 15:00:00;8.881;4
08/01/2021 16:00:00;7.692;4
08/01/2021 17:00:00;6.36;4
08/01/2021 18:00:00;5.121;4
08/01/2021 19:00:00;4.145;4
08/01/2021 20:00:00;3.668;4
08/01/2021 21:00:00;3.915;4
08/01/2021 22:00:00;4.952;4
08/01/2021 23:00:00;6.516;4
09/01/2021 00:00:00;8.232;4
09/01/2021 01:00:00;9.443;4
09/01/2021 02:00:00;9.885;4
09/01/2021 03:00:00;9.626;4
09/01/2021 04:00:00;8.762;4
09/01/2021 05:00:00;7.498;4
09/01/2021 06:00:00;6.073;4
09/01/2021 07:00:00;4.764;4
09/01/2021 08:00:00;3.839;4
09/01/2021 09:00:00;3.566;4
09/01/2021 10:00:00;4.165;4
09/01/2021 11:00:00;5.589;4
09/01/2021 12:00:00;7.356;4
09/01/2021 13:00:00;9.025;4
09/01/2021 14:00:00;9.918;4
09/01/2021 15:00:00;9.899;4
09/01/2021 16:00:00;9.232;4
09/01/2021 17:00:00;8.101;4
09/01/2021 18:00:00;6.704;4
09/01/2021 19:00:00;5.316;4
09/01/2021 20:00:00;4.111;4
09/01/2021 21:00:00;3.344;4
09/01/2021 22:00:00;3.323;4
09/01/2021 23:00:00;4.23;4
10/01/2021 00:00:00;5.918;4
10/01/2021 01:00:00;7.876;4
10/01/2021 02:00:00;9.517;4
10/01/2021 03:00:00;10.27;4
10/01/2021 04:00:00;10.032;4
10/01/2021 05:00:00;9.106;4
10/01/2021 06:00:00;7.723;4
10/01/2021 07:00:00;6.122;4
